Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars),Daily Summary
7.288888889,0.73,17.6456,328,9.982,1009.44,Overcast throughout the day.
7.405555556,0.72,14.4095,318,9.982,1010.03,Overcast throughout the day.
7.961111111,0.7,10.7548,321,10.0464,1010.22,Overcast throughout the day.
8.033333333,0.7,4.8622,349,10.0464,1010.39,Overcast throughout the day.
9.077777778,0.65,2.3828,348,10.0303,1010.24,Overcast throughout the day.
9.05,0.62,0.322,243,9.982,1010,Overcast throughout the day.
9.05,0.65,3.2522,177,11.2056,1009.98,Overcast throughout the day.
9.183333333,0.65,3.0107,170,11.0285,1010.05,Overcast throughout the day.
9.072222222,0.7,10.465,172,9.982,1010.1,Overcast throughout the day.
7.983333333,0.75,7.3416,172,9.982,1010.39,Overcast throughout the day.
8.072222222,0.75,9.5151,150,9.982,1010.91,Overcast throughout the day.
7.894444444,0.82,9.9981,142,9.982,1011.32,Overcast throughout the day.
7.311111111,0.83,13.685,141,11.9784,1011.61,Overcast throughout the day.
7.338888889,0.84,11.5437,141,14.168,1011.97,Overcast throughout the day.
6.622222222,0.85,12.719,142,14.9086,1012.22,Mostly cloudy throughout the day.
6.066666667,0.88,12.8961,130,14.9086,1012.74,Mostly cloudy throughout the day.
8.338888889,0.88,0.6923,359,15.0052,1015.35,Mostly cloudy throughout the day.
5.183333333,0.91,5.5384,166,9.982,1013.29,Mostly cloudy throughout the day.
3.722222222,0.94,5.2003,145,9.982,1013.39,Mostly cloudy throughout the day.
4.855555556,0.93,5.6189,170,5.9248,1013.45,Mostly cloudy throughout the day.
5.211111111,0.92,4.7656,178,1.2236,1013.4,Mostly cloudy throughout the day.
6.255555556,0.92,7.9212,223,7.2128,1013.81,Mostly cloudy throughout the day.
7.794444444,0.87,9.7566,240,10.6743,1014.7,Mostly cloudy throughout the day.
10.05,0.76,9.6922,231,11.2056,1014.67,Mostly cloudy throughout the day.
12.2,0.66,14.49,230,9.982,1014.66,Mostly cloudy throughout the day.
12.7,0.63,20.3343,214,11.0285,1014.8,Mostly cloudy throughout the day.
13.93333333,0.58,23.5865,222,11.27,1014.47,Mostly cloudy throughout the day.
15.09444444,0.59,22.2985,241,11.27,1014.16,Mostly cloudy throughout the day.
15.15,0.5,14.7154,235,11.4471,1014.07,Mostly cloudy throughout the day.
16.17777778,0.44,14.49,238,11.27,1013.34,Mostly cloudy throughout the day.
16.25,0.55,14.7154,211,11.27,1012.72,Mostly cloudy throughout the day.
16.29444444,0.5,19.5937,221,11.4471,1012.38,Mostly cloudy throughout the day.
16.1,0.56,14.8281,215,11.1251,1012.38,Mostly cloudy throughout the day.
12.95555556,0.68,11.9784,224,11.27,1012.72,Mostly cloudy throughout the day.
13.85,0.64,11.5598,231,11.4471,1013.42,Mostly cloudy throughout the day.
12.77777778,0.69,14.2485,358,10.0464,1014.41,Mostly cloudy throughout the day.
12.15,0.72,11.2539,8,15.8746,1014.89,Mostly cloudy throughout the day.
10.67777778,0.81,5.7799,59,15.0052,1014.91,Mostly cloudy throughout the day.
10.44444444,0.83,2.6404,63,15.8746,1014.75,Mostly cloudy throughout the day.
9.822222222,0.8,5.313,65,15.8746,1015.55,Mostly cloudy throughout the day.
11.02777778,0.74,11.3827,146,14.9569,1015.7,Mostly cloudy throughout the day.
7.138888889,0.93,3.6547,305,14.9086,1016.43,Mostly cloudy throughout the day.
7.622222222,0.89,10.8675,327,14.9086,1016.56,Mostly cloudy throughout the day.
7.627777778,0.86,6.5205,319,13.3791,1017.15,Mostly cloudy throughout the day.
7.044444444,0.86,11.3988,271,9.982,1017.37,Mostly cloudy throughout the day.
8.6,0.84,9.66,297,9.982,1018.25,Mostly cloudy throughout the day.
9.65,0.84,15.9551,289,9.982,1019.24,Mostly cloudy throughout the day.
12.10555556,0.72,13.1698,310,9.982,1019.83,Mostly cloudy throughout the day.
12.77777778,0.71,13.1698,301,11.2056,1020.51,Mostly cloudy throughout the day.
13.81111111,0.65,9.6761,307,11.4471,1020.91,Mostly cloudy throughout the day.
16.01666667,0.48,11.2378,307,11.27,1020.6,Mostly cloudy throughout the day.
17.12777778,0.47,12.7029,308,11.27,1020.39,Mostly cloudy throughout the day.
17.14444444,0.43,10.6099,279,11.4471,1020.34,Mostly cloudy throughout the day.
17.77777778,0.4,7.9534,272,11.2056,1019.7,Mostly cloudy throughout the day.
17.77777778,0.37,2.5921,351,11.2056,1018.89,Mostly cloudy throughout the day.
17.80555556,0.43,11.0124,175,10.3523,1018.48,Mostly cloudy throughout the day.
16.15555556,0.52,9.1931,172,9.982,1017.87,Mostly cloudy throughout the day.
14.05,0.63,9.1609,160,9.982,1017.56,Mostly cloudy throughout the day.
13.08888889,0.67,9.2736,138,9.982,1017.38,Mostly cloudy throughout the day.
12.28888889,0.72,9.4507,141,9.982,1017.58,Mostly cloudy throughout the day.
12.77777778,0.66,11.0768,141,15.8263,1017.65,Mostly cloudy throughout the day.
12.72777778,0.67,13.3791,149,14.9569,1017.36,Mostly cloudy throughout the day.
12.26666667,0.69,14.1358,151,15.8263,1016.8,Mostly cloudy throughout the day.
11.71111111,0.71,11.3183,158,15.8263,1016.64,Mostly cloudy throughout the day.
10.82777778,0.86,9.177,259,14.168,1013.13,Mostly cloudy throughout the day.
12.2,0.59,14.168,141,15.8263,1014.79,Mostly cloudy throughout the day.
12.2,0.6,14.2968,151,15.8263,1014.25,Mostly cloudy throughout the day.
11.68888889,0.68,13.8299,152,14.9569,1013.95,Mostly cloudy throughout the day.
11.20555556,0.77,14.007,132,9.982,1013.63,Mostly cloudy throughout the day.
11.13333333,0.77,15.4882,150,9.982,1013.27,Mostly cloudy throughout the day.
11.43888889,0.77,13.8782,163,10.3523,1013.56,Mostly cloudy throughout the day.
13.03333333,0.81,14.4578,209,9.982,1012.85,Mostly cloudy throughout the day.
17.24444444,0.62,25.0194,221,11.27,1012.15,Mostly cloudy throughout the day.
17.73888889,0.53,27.37,230,11.4471,1011.71,Mostly cloudy throughout the day.
17.84444444,0.56,22.218,251,11.27,1011.28,Mostly cloudy throughout the day.
18.86111111,0.56,23.5382,250,11.27,1010.99,Mostly cloudy throughout the day.
18.66666667,0.56,19.8996,240,11.3988,1010.93,Mostly cloudy throughout the day.
17.82222222,0.56,17.5007,243,11.27,1010.7,Mostly cloudy throughout the day.
17.8,0.59,17.6939,281,11.27,1010.52,Mostly cloudy throughout the day.
17.35,0.57,19.5615,295,11.3988,1010.69,Mostly cloudy throughout the day.
16.06666667,0.67,21.8155,280,11.2056,1010.86,Mostly cloudy throughout the day.
14.93333333,0.73,17.2753,280,11.2056,1011.14,Mostly cloudy throughout the day.
13.92222222,0.78,11.7691,279,11.2861,1011.64,Mostly cloudy throughout the day.
12.75555556,0.84,11.0446,270,11.0768,1012.02,Mostly cloudy throughout the day.
12.75555556,0.84,11.0607,277,15.6975,1012.21,Mostly cloudy throughout the day.
12.37222222,0.86,7.2933,239,14.8764,1012.33,Mostly cloudy throughout the day.
11.18333333,0.93,6.923,241,15.8263,1012.6,Partly cloudy throughout the day.
11.66666667,0.9,11.1734,242,15.8263,1012.8,Partly cloudy throughout the day.
8.977777778,0.95,10.3201,266,6.8425,1012.66,Partly cloudy throughout the day.
10.57777778,0.93,11.1734,278,14.9086,1012.32,Partly cloudy throughout the day.
10.53333333,0.89,14.007,269,14.9086,1012.33,Partly cloudy throughout the day.
10.58888889,0.87,7.2933,269,14.168,1012.55,Partly cloudy throughout the day.
9.983333333,0.89,6.7298,297,15.8263,1012.71,Partly cloudy throughout the day.
11.02222222,0.86,7.889,307,9.982,1013.01,Partly cloudy throughout the day.
13.53888889,0.75,11.8657,305,9.982,1013.23,Partly cloudy throughout the day.
13.88888889,0.68,20.0123,308,11.2056,1013.31,Partly cloudy throughout the day.
15,0.67,17.5812,300,11.2056,1013.4,Partly cloudy throughout the day.
17.18333333,0.57,15.9551,319,11.4471,1013.27,Partly cloudy throughout the day.
16.2,0.62,16.3093,309,11.27,1013.02,Partly cloudy throughout the day.
17.75,0.56,17.7744,290,11.2056,1013.03,Partly cloudy throughout the day.
18.40555556,0.54,19.0785,297,15.3594,1012.55,Partly cloudy throughout the day.
17.82222222,0.59,17.5973,319,11.27,1012.03,Partly cloudy throughout the day.
17.31111111,0.57,20.3343,310,11.27,1011.81,Partly cloudy throughout the day.
17.50555556,0.55,13.7172,316,11.4471,1011.33,Partly cloudy throughout the day.
17.26666667,0.54,14.3773,309,9.982,1011.2,Partly cloudy throughout the day.
15.13888889,0.61,10.8997,310,9.982,1011.5,Partly cloudy throughout the day.
13.25,0.69,4.7173,325,9.982,1011.76,Partly cloudy throughout the day.
12.29444444,0.72,4.669,282,9.982,1012.01,Partly cloudy throughout the day.
10.7,0.79,3.5742,281,15.8263,1012.31,Partly cloudy throughout the day.
9.855555556,0.85,5.7477,274,14.9569,1012.51,Partly cloudy throughout the day.
9.522222222,0.88,11.27,280,11.9784,1012.52,Partly cloudy until night.
8.405555556,0.92,3.1234,255,11.9784,1012.61,Partly cloudy until night.
13.01111111,0.82,9.6278,46,14.9569,1011.27,Partly cloudy until night.
7.733333333,0.96,3.4293,277,4.2987,1012.54,Partly cloudy until night.
6.138888889,0.96,3.3488,284,4.1216,1012.44,Partly cloudy until night.
6.472222222,0.95,2.9946,283,4.7656,1012.62,Partly cloudy until night.
6.627777778,0.96,3.3005,313,2.9302,1012.75,Partly cloudy until night.
8.688888889,0.93,1.4329,290,5.8443,1012.96,Partly cloudy until night.
11.99444444,0.81,2.415,345,9.6117,1013.38,Partly cloudy until night.
13.76666667,0.78,4.1538,16,9.6761,1013.14,Partly cloudy until night.
15.08888889,0.77,7.3738,332,9.9015,1013.33,Partly cloudy until night.
16.45555556,0.68,7.8085,350,11.0768,1013.56,Partly cloudy until night.
17.31111111,0.62,7.3738,330,11.27,1013.61,Partly cloudy until night.
17.87222222,0.64,8.372,12,11.27,1013.11,Partly cloudy until night.
19.03888889,0.47,7.0679,39,11.4471,1012.69,Partly cloudy until night.
18.97777778,0.51,10.8675,3,11.27,1012.2,Partly cloudy until night.
19.00555556,0.55,4.8139,9,11.2056,1011.7,Partly cloudy until night.
19.01111111,0.53,4.7978,33,11.3988,1011.4,Partly cloudy until night.
17.86666667,0.64,10.9319,24,11.2056,1011.32,Partly cloudy until night.
17.26666667,0.62,10.8514,33,9.982,1011.23,Partly cloudy until night.
16.18888889,0.61,5.0876,25,10.3523,1011.5,Partly cloudy until night.
14.88333333,0.72,9.177,32,9.982,1012.05,Partly cloudy until night.
14.32777778,0.75,10.9319,31,15.8263,1012.15,Partly cloudy until night.
14.51111111,0.75,6.3756,47,14.9569,1012.09,Partly cloudy until night.
14.37222222,0.75,6.5366,67,15.8263,1011.83,Mostly cloudy until night.
14.87777778,0.72,14.2163,60,15.8263,1011.45,Mostly cloudy until night.
10.40555556,0.92,3.6064,144,2.0125,1012.05,Mostly cloudy until night.
12.82222222,0.83,8.4364,57,11.2056,1011.18,Mostly cloudy until night.
12.8,0.85,14.4256,31,14.9086,1010.07,Mostly cloudy until night.
12.82777778,0.86,13.8943,12,14.168,1009.83,Mostly cloudy until night.
12.26666667,0.85,15.778,12,11.2056,1009.8,Mostly cloudy until night.
12.26666667,0.85,15.5848,2,11.27,1009.99,Mostly cloudy until night.
12.18333333,0.82,12.3809,11,11.0768,1010.21,Mostly cloudy until night.
12.17222222,0.8,20.3826,11,11.27,1010.41,Mostly cloudy until night.
12.71111111,0.83,22.0892,19,11.27,1010.33,Mostly cloudy until night.
15.60555556,0.78,22.3468,18,10.3523,1010.43,Mostly cloudy until night.
16.02222222,0.78,18.0642,20,11.2056,1010.29,Mostly cloudy until night.
17.2,0.67,17.6456,48,11.2056,1010.1,Mostly cloudy until night.
17.21666667,0.71,14.0875,46,11.0285,1009.96,Mostly cloudy until night.
17.82777778,0.69,13.4113,29,11.2056,1009.86,Mostly cloudy until night.
17.82777778,0.69,14.6188,19,11.2056,1009.47,Mostly cloudy until night.
17.73333333,0.69,9.2414,340,11.0285,1009.63,Mostly cloudy until night.
16.27222222,0.71,23.0713,39,11.2056,1009.39,Mostly cloudy until night.
13.16666667,0.93,3.7674,335,5.2164,1011.07,Mostly cloudy until night.
13.25555556,0.93,3.1395,228,8.05,1011.23,Mostly cloudy until night.
13.01111111,0.93,10.3362,274,9.982,1011.35,Mostly cloudy until night.
12.45555556,0.91,5.796,310,14.9086,1011.67,Mostly cloudy until night.
12.48888889,0.9,9.8854,315,14.5866,1011.76,Mostly cloudy until night.
9.555555556,0.8,6.4883,146,15.8263,1015.68,Partly cloudy throughout the day.
10.62222222,0.79,14.0231,160,15.8263,1015.41,Partly cloudy throughout the day.
8.722222222,0.93,4.5724,40,11.3988,1014.98,Partly cloudy throughout the day.
10.53333333,0.77,10.7709,143,15.8263,1015.18,Partly cloudy throughout the day.
9.444444444,0.83,6.5366,133,15.8263,1014.7,Partly cloudy throughout the day.
9.888888889,0.83,6.0858,163,14.9569,1014.64,Partly cloudy throughout the day.
10.36666667,0.78,10.7065,136,15.8263,1014.31,Partly cloudy throughout the day.
8.888888889,0.89,10.4972,158,11.2056,1014.63,Partly cloudy throughout the day.
9.977777778,0.84,8.0017,151,11.0285,1014.82,Partly cloudy throughout the day.
12.2,0.73,2.4633,355,9.982,1014.82,Partly cloudy throughout the day.
13.96111111,0.67,9.3058,123,9.982,1015,Partly cloudy throughout the day.
14.94444444,0.67,7.1645,132,10.3523,1014.9,Partly cloudy throughout the day.
16.18333333,0.71,11.753,199,9.982,1014.35,Partly cloudy throughout the day.
16.36666667,0.61,7.1323,227,11.27,1014.51,Partly cloudy throughout the day.
17.37222222,0.57,3.6225,251,11.4471,1014.32,Partly cloudy throughout the day.
17.67222222,0.51,1.7549,156,11.27,1013.93,Partly cloudy throughout the day.
17.72222222,0.53,8.6779,113,11.27,1013.45,Partly cloudy throughout the day.
16.23888889,0.61,2.8336,261,11.3988,1013.43,Partly cloudy throughout the day.
14.06666667,0.71,9.2414,357,11.2056,1013.58,Partly cloudy throughout the day.
13.95555556,0.76,7.4221,147,11.2056,1013.24,Partly cloudy throughout the day.
12.28888889,0.8,3.542,161,11.0285,1013.7,Partly cloudy throughout the day.
10.02222222,0.86,3.1073,149,9.9015,1014.14,Partly cloudy throughout the day.
9.377777778,0.86,6.44,190,15.6009,1014.34,Partly cloudy throughout the day.
9.416666667,0.9,4.6046,138,14.7154,1014.6,Partly cloudy throughout the day.
11.82777778,0.92,3.0268,311,15.8263,1011.68,Foggy starting overnight continuing until morning.
10.76111111,0.91,5.1681,178,0.6118,1011.98,Foggy starting overnight continuing until morning.
12.15555556,0.95,2.8497,298,3.6386,1015.64,Foggy starting overnight continuing until morning.
9.672222222,0.94,5.7155,123,0.6118,1012.26,Foggy starting overnight continuing until morning.
8.15,0.94,6.762,10,0.6118,1012.63,Foggy starting overnight continuing until morning.
10.2,0.95,5.6189,133,1.1109,1012.62,Foggy starting overnight continuing until morning.
10.11666667,0.99,2.254,127,0.5152,1012.85,Foggy starting overnight continuing until morning.
10.16111111,0.99,0.3381,81,0.4347,1013.61,Foggy starting overnight continuing until morning.
11.24444444,0.98,2.7531,358,0.6923,1013.9,Foggy starting overnight continuing until morning.
12.24444444,0.99,2.254,152,2.2057,1014.31,Foggy starting overnight continuing until morning.
13.91111111,0.92,8.0983,135,4.2021,1014.43,Foggy starting overnight continuing until morning.
15.61666667,0.82,2.2862,153,6.3112,1014.73,Foggy starting overnight continuing until morning.
15.07222222,0.86,3.2844,120,6.3434,1014.92,Foggy starting overnight continuing until morning.
15.07222222,0.82,7.5992,162,8.1949,1014.73,Foggy starting overnight continuing until morning.
14.26666667,0.87,10.5616,134,6.8908,1014.92,Foggy starting overnight continuing until morning.
16.01666667,0.81,6.6654,115,7.2772,1014.76,Foggy starting overnight continuing until morning.
15.02777778,0.86,7.7119,139,7.2772,1014.37,Foggy starting overnight continuing until morning.
13.94444444,0.89,7.2772,152,6.3112,1014.83,Foggy starting overnight continuing until morning.
12.91666667,0.95,11.4793,310,4.7495,1015.11,Foggy starting overnight continuing until morning.
12.89444444,0.95,5.2808,347,5.2164,1015.14,Foggy starting overnight continuing until morning.
12.4,0.98,2.3506,72,5.8282,1015.5,Foggy starting overnight continuing until morning.
12.26666667,0.99,8.05,320,6.1985,1015.76,Foggy starting overnight continuing until morning.
12.22222222,0.96,6.1985,349,6.1985,1016.35,Foggy starting overnight continuing until morning.
11.25,0.96,2.7692,335,3.8318,1016.38,Foggy starting overnight continuing until morning.
11.52777778,0.96,3.1556,358,4.508,1016.43,Foggy in the morning.
11.53888889,0.96,5.9892,301,3.1234,1016.56,Foggy in the morning.
9.438888889,0.96,5.9731,326,1.8032,1017.23,Foggy in the morning.
11.43888889,0.96,6.279,340,3.8801,1016.17,Foggy in the morning.
11.39444444,0.96,6.44,350,3.864,1016.25,Foggy in the morning.
11.52777778,0.96,6.4239,332,3.2522,1016.13,Foggy in the morning.
11.95,0.93,4.83,340,0.644,1016.17,Foggy in the morning.
11.97222222,1,9.66,10,1.2558,1016.45,Foggy in the morning.
12.63333333,0.96,7.6636,7,2.3506,1016.94,Foggy in the morning.
12.75555556,0.96,7.9695,1,4.025,1017.06,Foggy in the morning.
13.84444444,0.9,7.9212,30,4.4919,1017.45,Foggy in the morning.
13.17222222,0.94,10.3845,8,6.2629,1017.77,Foggy in the morning.
15.06666667,0.86,8.1466,345,6.1985,1017.73,Foggy in the morning.
17.24444444,0.75,7.1645,308,11.27,1017.53,Foggy in the morning.
16.31666667,0.76,13.3469,352,11.0285,1017.31,Foggy in the morning.
17.38333333,0.74,13.6206,353,11.27,1016.82,Foggy in the morning.
15.27222222,0.76,8.2754,85,11.27,1016.6,Foggy in the morning.
17.45555556,0.72,5.2808,49,11.0768,1016.39,Foggy in the morning.
16.22222222,0.77,11.1573,21,11.27,1016.33,Foggy in the morning.
15.08333333,0.82,3.6869,23,11.27,1016.52,Foggy in the morning.
13.99444444,0.88,1.1431,35,9.6278,1016.81,Foggy in the morning.
12.17222222,0.92,0.6601,30,8.1305,1017.34,Foggy in the morning.
11.08888889,0.95,4.8461,56,1.0626,1017.54,Foggy in the morning.
11.09444444,0.95,3.381,11,1.7871,1017.43,Foggy in the morning.
9.883333333,0.96,3.3649,349,1.0626,1017.65,Foggy starting overnight continuing until morning.
9.355555556,0.96,6.4239,321,3.3649,1017.56,Foggy starting overnight continuing until morning.
9.861111111,0.96,3.2361,319,4.4597,1016.16,Foggy starting overnight continuing until morning.
8.272222222,0.99,3.3166,313,1.9159,1017.16,Foggy starting overnight continuing until morning.
8.866666667,0.96,2.6243,337,1.7549,1017.15,Foggy starting overnight continuing until morning.
8.816666667,0.96,3.9445,335,2.3667,1017.28,Foggy starting overnight continuing until morning.
7.155555556,1,1.8515,319,0.2898,1017.15,Foggy starting overnight continuing until morning.
8.85,0.99,3.4776,295,1.7549,1017.36,Foggy starting overnight continuing until morning.
11.17777778,0.93,2.8819,285,2.5599,1017.7,Foggy starting overnight continuing until morning.
12.38888889,0.98,3.4293,349,6.2951,1017.72,Foggy starting overnight continuing until morning.
14.14444444,0.88,4.8783,339,9.982,1017.82,Foggy starting overnight continuing until morning.
